"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$14,910,363,060","2.67%","23.48","4.19","2.49","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$32,514,796,570","2.83%","9.94","0.66","1.22","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,984,869,020,621","0.00%","12.52","8.30","3.61","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$86,118,035,975","9.15%","30.95","4.09","-67.71","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,734,820,149,639","0.00%","66.07","3.79","14.39","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,800,090,906","4.03%","18.94","1.35","3.84","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$22,387,231,924","2.51%","22.83","3.62","2.31","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Large cap","Industrials","$11,823,615,172","0.00%","-3.65","0.48","-1.59","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$43,626,308,262","3.42%","18.27","2.67","1.96","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$125,842,074,490","1.05%","16.51","3.15","5.21","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$45,890,548,794","2.30%","8.45","0.96","0.72","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$128,085,102,281","1.78%","51.20","14.18","23.46","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$33,288,576,851","1.28%","43.32","8.53","4.81","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$33,420,369,440","1.47%","15.13","2.59","5.93","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$26,601,524,869","1.39%","17.51","0.12","46.13","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$32,628,414,664","0.57%","35.49","6.22","5.03","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$124,780,295,270","3.14%","22.47","4.84","15.34","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$50,228,353,410","0.75%","34.30","4.89","8.56","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$63,439,648,811","1.59%","45.72","8.67","1.67","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$34,957,021,888","0.00%","75.39","18.65","8.12","Analyze"
"ANTM","Anthem Inc","Common stocks","Large cap","Health Care","$110,170,618,583","0.99%","20.04","0.82","3.10","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$64,782,134,012","0.68%","70.34","5.36","29.17","Analyze"
"APA","Apache Corp","Common stocks","Mid cap","Energy","$9,383,374,110","0.43%","14.80","1.36","-8.65","Analyze"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,881,619,569,080","0.49%","30.55","7.88","45.84","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$135,338,337,935","0.77%","23.46","5.87","11.28","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$43,504,083,995","0.00%","55.26","2.77","5.30","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$36,151,094,221","2.27%","14.01","0.45","1.67","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$10,718,819,479","0.00%","13.89","3.87","2.82","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$34,246,471,160","1.16%","36.72","4.31","4.10","Analyze"
